Date,EXUSEU_Avg,US_GDP,US_IR,US_CPI,US_M3,US_BOP,US_DM3Index,US_UC,EU_GDP,EU_OR_Avg,EU_CPI,EU_M3,EU_BOP,EU_DM3Index,EU_UC,OIL_Avg
Jan-2001,0.9376,92.2054,5.15,73.8766,100,-35202, 100.00 , 0.29 ,87.2,3.75,76.43,100.00,-6016,100,3.4,25.62
Feb-2001,0.9205,91.5813,4.88,74.1719,101,-29301, 100.91 , 0.32 ,87.4,3.75,76.66,100.50,-2437,100.4,3.3,27.50
Mar-2001,0.9083,91.3567,4.42,74.3407,102,-32812, 102.02 , 0.34 ,87.6,3.75,77.07,101.10,-5511,100.9,3.3,24.50
Apr-2001,0.8925,91.0720,3.87,74.6360,103,-30521, 103.53 , 0.22 ,87.6,3.75,77.54,101.74,-5148,101.6,3.3,25.66
May-2001,0.8753,90.5335,3.62,74.9735,103,-27095, 104.08 , 0.26 ,87.7,3.58,77.90,102.34,-3120,102.1,3.4,28.31
Jun-2001,0.8530,90.0322,3.49,75.1001,104,-29151, 105.11 , 0.28 ,87.8,3.50,78.02,103.34,-6280,102.8,3.4,27.85
Jul-2001,0.8615,89.4778,3.51,74.8891,105,-29902, 105.90 , 0.30 ,87.8,3.50,77.84,103.77,-1493,103.1,3.5,24.61
Aug-2001,0.9014,89.3838,3.36,74.8891,105,-28094, 106.88 , 0.31 ,87.8,3.49,77.78,104.47,348,103.4,3.3,25.68
Sep-2001,0.9114,88.9262,2.64,75.2267,107,-30217, 109.56 , 0.35 ,87.9,3.03,77.99,105.41,-3049,104.7,3.4,25.62
Oct-2001,0.9050,88.6365,2.16,74.9735,107,-30588, 109.66 , 0.14 ,87.9,2.75,78.06,106.16,-541,105.0,3.4,20.54
Nov-2001,0.8883,88.1058,1.87,74.8470,108,-30003, 111.56 , 0.17 ,87.9,2.38,78.01,106.90,-2248,105.6,3.3,18.80
Dec-2001,0.8912,88.0897,1.69,74.5516,109,-27488, 111.72 , 0.19 ,88.0,2.25,78.36,107.53,6877,106.0,3.5,18.71
Jan-2002,0.8832,88.6706,1.65,74.7204,110,-29678, 111.96 , 0.16 ,88.1,2.25,78.45,107.97,4954,106.7,3.6,19.42
Feb-2002,0.8707,88.6723,1.72,75.0157,110,-32501, 113.30 , 0.16 ,88.1,2.25,78.58,108.10,6298,106.8,3.6,20.28
Mar-2002,0.8766,89.3624,1.79,75.4376,110,-31161, 113.55 , 0.16 ,88.2,2.25,79.02,108.55,5967,107.4,3.8,23.70
Apr-2002,0.8860,89.7933,1.71,75.8595,110,-33965, 114.08 , 0.17 ,88.4,2.25,79.38,109.12,-1836,108.0,3.7,25.73
May-2002,0.9170,90.1629,1.73,75.8595,111,-34026, 114.52 , 0.18 ,88.5,2.25,79.52,109.93,1341,108.6,3.7,25.35
Jun-2002,0.9561,90.9078,1.70,75.9017,111,-34732, 115.08 , 0.18 ,88.6,2.25,79.49,110.24,3185,109.5,3.6,24.08
Jul-2002,0.9935,90.8761,1.68,75.9861,112,-33913, 116.08 , 0.18 ,88.7,2.25,79.41,110.82,5495,110.0,3.6,25.74
Aug-2002,0.9781,90.7850,1.62,76.2393,113,-36385, 116.92 , 0.18 ,88.8,2.25,79.46,111.59,6076,110.9,3.4,26.65
Sep-2002,0.9806,90.8931,1.63,76.3658,114,-36088, 117.41 , 0.18 ,88.9,2.25,79.66,112.66,5551,112.2,3.2,28.40
Oct-2002,0.9812,90.6289,1.58,76.4924,115,-35095, 117.55 , 0.19 ,88.9,2.25,79.85,113.06,104,112.6,3.4,27.54
Nov-2002,1.0013,91.1366,1.23,76.4924,116,-39515, 118.99 , 0.21 ,88.9,2.25,79.79,114.10,6095,114.0,3.4,24.34
Dec-2002,1.0194,90.6374,1.19,76.3236,116,-43607, 119.30 , 0.22 ,88.9,1.83,80.17,114.79,3543,114.7,3.3,28.33
Jan-2003,1.0622,91.3852,1.17,76.6612,117,-41156, 120.11 , 0.20 ,88.9,1.75,80.14,115.62,563,115.2,3.2,31.18
Feb-2003,1.0785,91.4940,1.17,77.2518,117,-40082, 120.88 , 0.20 ,88.9,1.75,80.46,116.58,881,116.4,3.0,32.77
Mar-2003,1.0797,91.2210,1.13,77.7159,118,-43806, 121.16 , 0.20 ,88.9,1.55,80.93,117.03,2657,117.4,3.1,30.61
