Date,EXMUS,MX_GDP,MX_IR,MX_CPI,MX_BOP,MX_M3,MX_DM3,MX_UC,US_GDP,US_IR,US_CPI,US_M3,US_BOP,US_DM3Index,US_UC,OIL_Avg
Jan-2001,9.7688,90.56842068,17.89,55.41693577,-1744.801235,101.1399745,92.93950481,0.9391654,92.2054,5.15,73.87655738,100,-35202,100,0.289043561,25.62454545
Feb-2001,9.7108,86.75003679,17.34,55.38025988,-1591.575309,102.3989063,92.12378346,0.937302518,91.5813,4.88,74.17189484,100.7697255,-29301,100.9066263,0.318347484,27.5035
Mar-2001,9.5990,91.08970148,15.8,55.73113677,-1448.423457,103.282389,91.81576915,0.905717427,91.3567,4.42,74.34065911,101.9313477,-32812,102.0247462,0.338233059,24.49727273
Apr-2001,9.3276,83.27774452,14.96,56.01226399,-1281.745679,104.4099967,91.83779521,0.854936222,91.072,3.87,74.63599657,103.2175731,-30521,103.5282746,0.222962862,25.65714286
May-2001,9.1475,88.4247191,11.95,56.14079332,-1183.941975,105.9760408,92.40303618,0.760226018,90.5335,3.62,74.97352511,103.1572812,-27095,104.0753461,0.25898594,28.31363636
Jun-2001,9.0881,88.09768709,9.43,56.27357967,-1121.412346,106.4937906,94.45451671,0.694837274,90.0322,3.49,75.10009831,103.9672013,-29151,105.1143408,0.278981991,27.84904762
Jul-2001,9.1682,89.68919768,9.39,56.12736732,-1009.223457,108.5298268,94.85495171,0.679618181,89.4778,3.51,74.88914297,104.5701194,-29902,105.8957296,0.298696102,24.61363636
Aug-2001,9.1332,92.73368475,7.51,56.45990627,-1080.941975,109.9804997,96.08244709,0.559823289,89.3838,3.36,74.88914297,105.2514169,-28094,106.878583,0.309295905,25.68
Sep-2001,9.4253,90.20334655,9.32,56.98548481,-1251.634568,111.7855725,100.2514475,0.788644985,88.9262,2.64,75.2266715,107.4842236,-30217,109.5558629,0.348785276,25.6195
Oct-2001,9.3391,88.92415359,8.36,57.24303467,-1887.508642,114.286264,101.0276815,0.709707637,88.6365,2.16,74.97352511,107.2551148,-30588,109.6580088,0.140440972,20.53782609
Nov-2001,9.2250,87.54402197,7.43,57.45866922,-1981.493827,114.7542402,104.4787322,0.660817022,88.1058,1.87,74.84695191,108.1313558,-30003,111.5567373,0.1693275,18.79727273
Dec-2001,9.1574,85.84359368,6.29,57.5382428,-1899.797531,112.8458818,111.0544289,0.584339995,88.0897,1.69,74.55161444,109.1985208,-27488,111.7207385,0.186487327,18.70526316
Jan-2002,9.1636,88.59552566,6.97,58.06938821,-1336.938272,113.2937514,106.1955147,0.516081328,88.6706,1.65,74.72037871,109.6085052,-29678,111.9565828,0.160741161,19.41681818
Feb-2002,9.1050,86.94423794,7.91,58.0320574,-1132.990123,114.4863181,105.4225057,0.591452697,88.6723,1.72,75.01571617,110.1993649,-32501,113.3048471,0.163686848,20.2755
Mar-2002,9.0640,83.08938226,7.23,58.32890285,-982.4716049,114.224881,107.1706585,0.573259023,89.3624,1.79,75.43762684,110.4385224,-31161,113.5457239,0.163077357,23.69666667
