Date,EXEUMX,MX_GDP,MX_IR,MX_CPI,MX_M3,MX_BOP,MX_DM3,MX_UC,EU_GDP,EU_IR,EU_CPI,EU_M3,EU_BOP,EU_DM3,EU_UC,OIL_Avg
Jan-2001,9.1679,90.56842068,17.89,55.41693577,101.1399745,-1744.801235,92.93950481,0.9391654,87.2,3.75,76.43,100.00,-6016,100,3.4,25.62
Feb-2001,8.9404,86.75003679,17.34,55.38025988,102.3989063,-1591.575309,92.12378346,0.937302518,87.4,3.75,76.66,100.50,-2437,100.4,3.3,27.50
Mar-2001,8.7112,91.08970148,15.8,55.73113677,103.282389,-1448.423457,91.81576915,0.905717427,87.6,3.75,77.07,101.10,-5511,100.9,3.3,24.50
Apr-2001,8.3254,83.27774452,14.96,56.01226399,104.4099967,-1281.745679,91.83779521,0.854936222,87.6,3.75,77.54,101.74,-5148,101.6,3.3,25.66
May-2001,8.0012,88.4247191,11.95,56.14079332,105.9760408,-1183.941975,92.40303618,0.760226018,87.7,3.58,77.90,102.34,-3120,102.1,3.4,28.31
Jun-2001,7.7469,88.09768709,9.43,56.27357967,106.4937906,-1121.412346,94.45451671,0.694837274,87.8,3.50,78.02,103.34,-6280,102.8,3.4,27.85
Jul-2001,7.8856,89.68919768,9.39,56.12736732,108.5298268,-1009.223457,94.85495171,0.679618181,87.8,3.50,77.84,103.77,-1493,103.1,3.5,24.61
Aug-2001,8.2325,92.73368475,7.51,56.45990627,109.9804997,-1080.941975,96.08244709,0.559823289,87.8,3.49,77.78,104.47,348,103.4,3.3,25.68
Sep-2001,8.5843,90.20334655,9.32,56.98548481,111.7855725,-1251.634568,100.2514475,0.788644985,87.9,3.03,77.99,105.41,-3049,104.7,3.4,25.62
Oct-2001,8.4715,88.92415359,8.36,57.24303467,114.286264,-1887.508642,101.0276815,0.709707637,87.9,2.75,78.06,106.16,-541,105.0,3.4,20.54
Nov-2001,8.1869,87.54402197,7.43,57.45866922,114.7542402,-1981.493827,104.4787322,0.660817022,87.9,2.38,78.01,106.90,-2248,105.6,3.3,18.80
Dec-2001,8.1515,85.84359368,6.29,57.5382428,112.8458818,-1899.797531,111.0544289,0.584339995,88.0,2.25,78.36,107.53,6877,106.0,3.5,18.71
Jan-2002,8.0932,88.59552566,6.97,58.06938821,113.2937514,-1336.938272,106.1955147,0.516081328,88.1,2.25,78.45,107.97,4954,106.7,3.6,19.42
Feb-2002,7.9253,86.94423794,7.91,58.0320574,114.4863181,-1132.990123,105.4225057,0.591452697,88.1,2.25,78.58,108.10,6298,106.8,3.6,20.28
Mar-2002,7.9429,83.08938226,7.23,58.32890285,114.224881,-982.4716049,107.1706585,0.573259023,88.2,2.25,79.02,108.55,5967,107.4,3.8,23.70
Apr-2002,8.1214,84.52261495,5.76,58.64752461,114.6371637,-897.5012346,104.5437485,0.464618461,88.4,2.25,79.38,109.12,-1836,108.0,3.7,25.73
May-2002,8.7303,87.37779354,6.61,58.76639378,116.4037998,-844.7530864,106.224438,0.514215728,88.5,2.25,79.52,109.93,1341,108.6,3.7,25.35
Jun-2002,9.3372,87.53822931,7.3,59.05292413,116.4708276,-836.345679,109.0285642,0.61204928,88.6,2.25,79.49,110.24,3185,109.5,3.6,24.08
Jul-2002,9.7045,85.90853595,7.38,59.22244772,116.1522807,-881.4,108.4875005,0.570696617,88.7,2.25,79.41,110.82,5495,110.0,3.6,25.74
Aug-2002,9.6202,88.16122091,6.68,59.44762589,116.0153827,-954.8333333,108.0646477,0.508656648,88.8,2.25,79.46,111.59,6076,110.9,3.4,26.65
Sep-2002,9.8622,90.83059476,7.34,59.80519226,116.9073861,-1065.766667,108.5047919,0.610700687,88.9,2.25,79.66,112.66,5551,112.2,3.2,28.40
Oct-2002,9.9045,88.66900228,7.66,60.06878664,122.9847216,-1447.65679,108.7472716,0.61856045,88.9,2.25,79.85,113.06,104,112.6,3.4,27.54
Nov-2002,10.2053,91.26659988,7.3,60.5546041,123.9574329,-1458.497531,114.1820706,0.608425493,88.9,2.25,79.79,114.10,6095,114.0,3.4,24.34
Dec-2002,10.4328,86.97647401,6.88,60.81819848,123.1644558,-1331.745679,121.8198212,0.608520447,88.9,1.83,80.17,114.79,3543,114.7,3.3,28.33
Jan-2003,11.2728,85.88097454,8.27,61.0640623,122.1826097,-808.1716049,119.7816251,0.69209937,88.9,1.75,80.14,115.62,563,115.2,3.2,31.18
Feb-2003,11.7839,87.26380503,9.04,61.2336847,121.4391316,-600.6567901,119.1416805,0.672616544,88.9,1.75,80.46,116.58,881,116.4,3.0,32.77
Mar-2003,11.7573,87.55960202,9.17,61.62021099,121.2486523,-449.9716049,118.6004041,0.67303908,88.9,1.55,80.93,117.03,2657,117.4,3.1,30.61
Apr-2003,11.4832,85.79010952,7.86,61.72541234,122.1072198,-419.5481481,116.4363671,0.593763578,88.9,1.50,81.05,118.56,-1811,118.4,3.2,25.07
May-2003,11.8689,89.63768565,5.25,61.526239,121.3064621,-334.9481481,117.2601262,0.380524457,89.0,1.50,81.00,119.08,-230,119.5,2.9,25.86
Jun-2003,12.2684,86.58874914,5.2,61.57706662,123.6734722,-259.6037037,117.5816568,0.412298105,89.1,1.08,81.10,119.22,-123,119.7,2.8,27.65
Jul-2003,11.8967,88.73855198,4.57,61.66631046,123.4593705,-86.7345679,118.2849677,0.414950303,89.2,1.00,80.98,119.99,239,120.4,3.2,28.35
Aug-2003,12.0309,88.50996895,4.45,61.85129934,125.189043,-109.9864198,118.0170458,0.435254422,89.4,1.00,81.10,120.50,2992,121.3,3.4,29.89
