Date,DEXSZUS,SWISS_GDP,SWISS_IR,SWISS_CPI,SWISS_M3,SWISS_BOP,SWISS_DM3,SWISS_UC,US_GDP,US_IR,US_CPI,US_M3,US_BOP,US_DM3Index,US_UC,OIL_Avg
Jan-2001,1.63049,100.0000000000000,3.42,100,100,2938.546486,100,84.433,100.0000,5.15,100.0000,100,-35202, 100.00 , 0.29 ,25.62
Feb-2001,1.66856,99.9735413288234,3.42833,99.82094035,100.3849153,2549.918228,98.93388885,84.105,99.3231,4.88,100.3998,101,-29301, 100.91 , 0.32 ,27.50
Mar-2001,1.69080,99.9359411410475,3.325,99.96583908,100.0603055,2312.973144,97.90749445,84.793,99.0796,4.42,100.6282,102,-32812, 102.02 , 0.34 ,24.50
Apr-2001,1.71311,99.8846785468881,3.175,99.8995291,101.3701821,2436.370263,99.08930141,91.302,98.7708,3.87,101.0280,103,-30521, 103.53 , 0.22 ,25.66
May-2001,1.75278,99.8126972114785,3.205,100.488344,102.0643189,2346.297253,100.0822209,92.667,98.1868,3.62,101.4849,103,-27095, 104.08 , 0.26 ,28.31
Jun-2001,1.78562,99.7142700516600,3.23667,100.6389034,101.0430768,2251.413142,98.96477392,89.055,97.6431,3.49,101.6562,104,-29151, 105.11 , 0.28 ,27.85
Jul-2001,1.75701,99.5924022682474,3.19,101.0044076,100.3940651,1810.650811,98.10800794,88.304,97.0418,3.51,101.3706,105,-29902, 105.90 , 0.30 ,24.61
Aug-2001,1.68076,99.4540818629065,3.15667,100.4304925,100.3227383,1961.944841,97.92255871,86.210,96.9399,3.36,101.3706,105,-28094, 106.88 , 0.31 ,25.68
Sep-2001,1.63384,99.3073248210834,2.28333,100.3832498,100.4749576,2364.228112,98.31162672,88.150,96.4436,2.64,101.8275,107,-30217, 109.56 , 0.35 ,25.62
Oct-2001,1.63567,99.1595178269282,2.09,100.019554,102.2204893,3990.130951,100.2020199,85.568,96.1294,2.16,101.4849,107,-30588, 109.66 , 0.14 ,20.54
Nov-2001,1.65087,99.0171394036590,2.00333,100.297029,104.077898,4164.919956,102.031344,91.713,95.5538,1.87,101.3135,108,-30003, 111.56 , 0.17 ,18.80
Dec-2001,1.65662,98.8856455118433,1.83833,100.3498365,104.3577986,3861.225453,102.6668804,96.407,95.5364,1.69,100.9138,109,-27488, 111.72 , 0.19 ,18.71
Jan-2002,1.67089,98.7690424339340,1.69667,100.5737873,103.7100346,2010.301899,101.9577385,100.335,96.1664,1.65,101.1422,110,-29678, 111.96 , 0.16 ,19.42
Feb-2002,1.69703,98.6697219529238,1.73833,100.5566094,104.1357081,1551.199543,101.9812617,99.667,96.1682,1.72,101.5420,110,-32501, 113.30 , 0.16 ,20.28
Mar-2002,1.67427,98.5872760150308,1.635,100.5266809,104.4896389,1415.172838,102.3722182,101.164,96.9167,1.79,102.1131,110,-31161, 113.55 , 0.16 ,23.70
Apr-2002,1.65417,98.5161078286206,1.57,100.9237261,104.8995082,1916.536254,102.8527481,102.394,97.3840,1.71,102.6842,110,-33965, 114.08 , 0.17 ,25.73
May-2002,1.58892,98.4471547250267,1.23167,101.0373927,104.8075943,2190.925004,102.6741656,103.074,97.7848,1.73,102.6842,111,-34026, 114.52 , 0.18 ,25.35
Jun-2002,1.53989,98.3687961637367,1.24333,100.8884575,104.9976606,2552.653556,103.2752576,102.885,98.5927,1.70,102.7413,111,-34732, 115.08 , 0.18 ,24.08
Jul-2002,1.47185,98.2676010780371,0.82167,100.9966616,105.6098651,3288.662825,104.2939561,95.994,98.5583,1.68,102.8555,112,-33913, 116.08 , 0.18 ,25.74
Aug-2002,1.49716,98.1308645936142,0.75167,100.9595974,105.5435291,3609.865295,103.789768,100.109,98.4595,1.62,103.1982,113,-36385, 116.92 , 0.18 ,26.65
Sep-2002,1.49308,97.9507438361601,0.74833,100.9518727,106.0536303,3803.201881,104.5323422,98.054,98.5768,1.63,103.3695,114,-36088, 117.41 , 0.18 ,28.40
Oct-2002,1.49322,97.7308364873855,0.74333,101.2144075,106.6019942,3691.185103,105.1651598,98.334,98.2902,1.58,103.5408,115,-35095, 117.55 , 0.19 ,27.54
Nov-2002,1.46576,97.4818853050151,0.745,101.1759588,108.0543165,3761.905531,106.1947149,100.363,98.8408,1.23,103.5408,116,-39515, 118.99 , 0.21 ,24.34
Dec-2002,1.43881,97.2202843915323,0.61667,101.2224655,109.3621136,3837.875686,107.9258046,98.396,98.2994,1.19,103.3124,116,-43607, 119.30 , 0.22 ,28.33
Jan-2003,1.37653,96.9686229753082,0.60333,101.4847713,110.1887146,3879.746878,108.6586992,97.599,99.1105,1.17,103.7693,117,-41156, 120.11 , 0.20 ,31.18
Feb-2003,1.36018,96.7512454477856,0.57167,101.5716748,111.5557774,3995.728002,109.430278,99.447,99.2285,1.17,104.5688,117,-40082, 120.88 , 0.20 ,32.77
Mar-2003,1.36136,96.5891681244534,0.31333,101.9278184,113.1823617,4146.470369,111.7167006,106.964,98.9324,1.13,105.1970,118,-43806, 121.16 , 0.20 ,30.61
