Date,DEXSZEU,SWISS_GDP,SWISS_IR,SWISS_CPI,SWISS_M3,SWISS_BOP,SWISS_DM3,SWISS_UC,EU_GDP,EU_IR,EU_CPI,EU_M3,EU_BOP,EU_DM3Index,EU_UC,OIL_Avg
Jan-2001,1.5232,100.0000000000000,3.42,100,100,2938.546486,100,84.433,100.0,3.75,100.00,100.00,-6016,100,3.4,25.62
Feb-2001,1.5369,99.9735413288234,3.42833,99.82094035,100.3849153,2549.918228,98.93388885,84.105,100.2,3.75,100.30,100.50,-2437,100.4,3.3,27.50
Mar-2001,1.5384,99.9359411410475,3.325,99.96583908,100.0603055,2312.973144,97.90749445,84.793,100.3,3.75,100.84,101.10,-5511,100.9,3.3,24.50
Apr-2001,1.5264,99.8846785468881,3.175,99.8995291,101.3701821,2436.370263,99.08930141,91.302,100.5,3.75,101.45,101.74,-5148,101.6,3.3,25.66
May-2001,1.5435,99.8126972114785,3.205,100.488344,102.0643189,2346.297253,100.0822209,92.667,100.5,3.58,101.92,102.34,-3120,102.1,3.4,28.31
Jun-2001,1.5208,99.7142700516600,3.23667,100.6389034,101.0430768,2251.413142,98.96477392,89.055,100.6,3.50,102.08,103.34,-6280,102.8,3.4,27.85
Jul-2001,1.5212,99.5924022682474,3.19,101.0044076,100.3940651,1810.650811,98.10800794,88.304,100.6,3.50,101.84,103.77,-1493,103.1,3.5,24.61
Aug-2001,1.5092,99.4540818629065,3.15667,100.4304925,100.3227383,1961.944841,97.92255871,86.210,100.7,3.49,101.77,104.47,348,103.4,3.3,25.68
Sep-2001,1.5166,99.3073248210834,2.28333,100.3832498,100.4749576,2364.228112,98.31162672,88.150,100.7,3.03,102.04,105.41,-3049,104.7,3.4,25.62
Oct-2001,1.4839,99.1595178269282,2.09,100.019554,102.2204893,3990.130951,100.2020199,85.568,100.7,2.75,102.13,106.16,-541,105.0,3.4,20.54
Nov-2001,1.4732,99.0171394036590,2.00333,100.297029,104.077898,4164.919956,102.031344,91.713,100.8,2.38,102.07,106.90,-2248,105.6,3.3,18.80
Dec-2001,1.4733,98.8856455118433,1.83833,100.3498365,104.3577986,3861.225453,102.6668804,96.407,100.9,2.25,102.53,107.53,6877,106.0,3.5,18.71
Jan-2002,1.4833,98.7690424339340,1.69667,100.5737873,103.7100346,2010.301899,101.9577385,100.335,100.9,2.25,102.64,107.97,4954,106.7,3.6,19.42
Feb-2002,1.4795,98.6697219529238,1.73833,100.5566094,104.1357081,1551.199543,101.9812617,99.667,101.0,2.25,102.81,108.10,6298,106.8,3.6,20.28
Mar-2002,1.4762,98.5872760150308,1.635,100.5266809,104.4896389,1415.172838,102.3722182,101.164,101.1,2.25,103.39,108.55,5967,107.4,3.8,23.70
Apr-2002,1.4632,98.5161078286206,1.57,100.9237261,104.8995082,1916.536254,102.8527481,102.394,101.3,2.25,103.86,109.12,-1836,108.0,3.7,25.73
May-2002,1.4529,98.4471547250267,1.23167,101.0373927,104.8075943,2190.925004,102.6741656,103.074,101.4,2.25,104.04,109.93,1341,108.6,3.7,25.35
