Date,EXCHUS,HN_GDP,HN_IR,HN_CPI,HN_M3,HN_BOP,HN_DM3,HN_UC,US_GDP,US_IR,US_CPI,US_M3,US_BOP,US_DM3,US_UC,OIL_Avg
2002-01-01,8.2764,98.00,3.24,0.30,11.98398,8.92,101.29,100.3,92.2054,5.15,73.8766,100,-35202,100.00,0.29,25.62
2002-02-01,8.2771,98.01,2.70,1.10,12.12253,8.81,101.968643,104.18161,91.5813,4.88,74.1719,101,-29301,100.91,0.32,27.50
2002-03-01,8.2767,98.08,2.70,-1.30,12.29036,8.13,103.7327005,96.31589845,91.3567,4.42,74.3407,102,-32812,102.02,0.34,24.50
2002-04-01,8.2773,98.17,2.70,-0.30,12.41944,5.36,104.0542719,96.03658234,91.0720,3.87,74.6360,103,-30521,103.53,0.22,25.66
2002-05-01,8.2772,98.28,2.70,-0.30,12.56541,4.74,104.7410301,95.74847259,90.5335,3.62,74.9735,103,-27095,104.08,0.26,28.31
2002-06-01,8.277,98.38,2.70,-0.90,12.73287,4.72,106.668265,94.88673634,90.0322,3.49,75.1001,104,-29151,105.11,0.28,27.85
2002-07-01,8.2767,98.49,2.70,-0.70,12.8969,5.12,107.4256097,94.22252918,89.4778,3.51,74.8891,105,-29902,105.90,0.30,24.61
2002-08-01,8.2768,98.60,2.70,0.30,13.08132,6.45,108.7039745,94.50519677,89.3838,3.36,74.8891,105,-28094,106.88,0.31,25.68
2002-09-01,8.2767,98.71,2.70,1.00,13.29609,8.53,111.3454811,95.45024874,88.9262,2.64,75.2267,107,-30217,109.56,0.35,25.62
2002-10-01,8.277,98.82,2.70,0.20,13.50192,15.46,111.6461139,95.64114924,88.6365,2.16,74.9735,107,-30588,109.66,0.14,20.54
2002-11-01,8.2772,98.92,2.70,-0.10,13.67663,15.95,113.0863487,95.54550809,88.1058,1.87,74.8470,108,-30003,111.56,0.17,18.80
2002-12-01,8.2772,99.02,2.70,0.30,13.87623,14.10,116.8181982,95.83214461,88.0897,1.69,74.5516,109,-27488,111.72,0.19,18.71
2003-01-01,8.2777,99.11,2.70,1.10,14.17564,4.10,120.6731988,96.8862982,88.6706,1.65,74.7204,110,-29678,111.96,0.16,19.42
2003-02-01,8.2775,99.19,2.70,0.90,14.39742,1.94,119.9008903,97.75827489,88.6723,1.72,75.0157,110,-32501,113.30,0.16,20.28
2003-03-01,8.278,99.25,2.70,-0.60,14.5409,1.79,122.3948288,97.17172524,89.3624,1.79,75.4376,110,-31161,113.55,0.16,23.70
