,Date,EXUSEU_Avg,US_GDP,US_IR,US_CPI,US_M3,US_BOP,US_DM3Index,US_UC,EU_GDP,EU_OR_Avg,EU_CPI,EU_M3,EU_BOP,EU_DM3Index,EU_UC,OIL_Avg,Diff,y
0,Jan-2001,0.9376,92.2054,5.15,73.8766,100.0,-35202.0,100.0,0.29,87.2,3.75,76.43,100.0,-6016.0,100.0,3.4,25.62,0.054400000000000004,-1
1,Feb-2001,0.9205,91.5813,4.88,74.1719,101.0,-29301.0,100.91,0.32,87.4,3.75,76.66,100.5,-2437.0,100.4,3.3,27.5,0.049799999999999955,-1
2,Mar-2001,0.9083,91.3567,4.42,74.3407,102.0,-32812.0,102.02,0.34,87.6,3.75,77.07,101.1,-5511.0,100.9,3.3,24.5,0.03169999999999995,-1
3,Apr-2001,0.8925,91.072,3.87,74.636,103.0,-30521.0,103.53,0.22,87.6,3.75,77.54,101.74,-5148.0,101.6,3.3,25.66,0.00649999999999995,-1
4,May-2001,0.8753,90.5335,3.62,74.9735,103.0,-27095.0,104.08,0.26,87.7,3.58,77.9,102.34,-3120.0,102.1,3.4,28.31,-0.04170000000000007,1
5,Jun-2001,0.853,90.0322,3.49,75.1001,104.0,-29151.0,105.11,0.28,87.8,3.5,78.02,103.34,-6280.0,102.8,3.4,27.85,-0.10309999999999997,1
6,Jul-2001,0.8615,89.4778,3.51,74.8891,105.0,-29902.0,105.9,0.3,87.8,3.5,77.84,103.77,-1493.0,103.1,3.5,24.61,-0.132,1
7,Aug-2001,0.9014,89.3838,3.36,74.8891,105.0,-28094.0,106.88,0.31,87.8,3.49,77.78,104.47,348.0,103.4,3.3,25.68,-0.07669999999999999,1
8,Sep-2001,0.9114,88.9262,2.64,75.2267,107.0,-30217.0,109.56,0.35,87.9,3.03,77.99,105.41,-3049.0,104.7,3.4,25.62,-0.06920000000000004,1
9,Oct-2001,0.905,88.6365,2.16,74.9735,107.0,-30588.0,109.66,0.14,87.9,2.75,78.06,106.16,-541.0,105.0,3.4,20.54,-0.07619999999999993,1
10,Nov-2001,0.8883,88.1058,1.87,74.847,108.0,-30003.0,111.56,0.17,87.9,2.38,78.01,106.9,-2248.0,105.6,3.3,18.8,-0.1130000000000001,1
11,Dec-2001,0.8912,88.0897,1.69,74.5516,109.0,-27488.0,111.72,0.19,88.0,2.25,78.36,107.53,6877.0,106.0,3.5,18.71,-0.1282000000000001,1
12,Jan-2002,0.8832,88.6706,1.65,74.7204,110.0,-29678.0,111.96,0.16,88.1,2.25,78.45,107.97,4954.0,106.7,3.6,19.42,-0.17900000000000005,1
13,Feb-2002,0.8707,88.6723,1.72,75.0157,110.0,-32501.0,113.3,0.16,88.1,2.25,78.58,108.1,6298.0,106.8,3.6,20.28,-0.20779999999999998,1
14,Mar-2002,0.8766,89.3624,1.79,75.4376,110.0,-31161.0,113.55,0.16,88.2,2.25,79.02,108.55,5967.0,107.4,3.8,23.7,-0.20310000000000006,1
15,Apr-2002,0.886,89.7933,1.71,75.8595,110.0,-33965.0,114.08,0.17,88.4,2.25,79.38,109.12,-1836.0,108.0,3.7,25.73,-0.20020000000000004,1
16,May-2002,0.917,90.1629,1.73,75.8595,111.0,-34026.0,114.52,0.18,88.5,2.25,79.52,109.93,1341.0,108.6,3.7,25.35,-0.23859999999999992,1
17,Jun-2002,0.9561,90.9078,1.7,75.9017,111.0,-34732.0,115.08,0.18,88.6,2.25,79.49,110.24,3185.0,109.5,3.6,24.08,-0.21130000000000004,1
18,Jul-2002,0.9935,90.8761,1.68,75.9861,112.0,-33913.0,116.08,0.18,88.7,2.25,79.41,110.82,5495.0,110.0,3.6,25.74,-0.14300000000000002,1
19,Aug-2002,0.9781,90.785,1.62,76.2393,113.0,-36385.0,116.92,0.18,88.8,2.25,79.46,111.59,6076.0,110.9,3.4,26.65,-0.13739999999999997,1
20,Sep-2002,0.9806,90.8931,1.63,76.3658,114.0,-36088.0,117.41,0.18,88.9,2.25,79.66,112.66,5551.0,112.2,3.2,28.4,-0.1461,1
21,Oct-2002,0.9812,90.6289,1.58,76.4924,115.0,-35095.0,117.55,0.19,88.9,2.25,79.85,113.06,104.0,112.6,3.4,27.54,-0.19020000000000004,1
22,Nov-2002,1.0013,91.1366,1.23,76.4924,116.0,-39515.0,118.99,0.21,88.9,2.25,79.79,114.1,6095.0,114.0,3.4,24.34,-0.16969999999999996,1
23,Dec-2002,1.0194,90.6374,1.19,76.3236,116.0,-43607.0,119.3,0.22,88.9,1.83,80.17,114.79,3543.0,114.7,3.3,28.33,-0.21039999999999992,1
24,Jan-2003,1.0622,91.3852,1.17,76.6612,117.0,-41156.0,120.11,0.2,88.9,1.75,80.14,115.62,563.0,115.2,3.2,31.18,-0.2016,1
25,Feb-2003,1.0785,91.494,1.17,77.2518,117.0,-40082.0,120.88,0.2,88.9,1.75,80.46,116.58,881.0,116.4,3.0,32.77,-0.1855,1
26,Mar-2003,1.0797,91.221,1.13,77.7159,118.0,-43806.0,121.16,0.2,88.9,1.55,80.93,117.03,2657.0,117.4,3.1,30.61,-0.14639999999999986,1
27,Apr-2003,1.0862,90.6448,1.13,77.5472,119.0,-42037.0,121.27,0.17,88.9,1.5,81.05,118.56,-1811.0,118.4,3.2,25.07,-0.11270000000000002,1
28,May-2003,1.1556,90.6163,1.07,77.4206,120.0,-41045.0,122.64,0.18,89.0,1.5,81.0,119.08,-230.0,119.5,2.9,25.86,-0.044399999999999995,1
29,Jun-2003,1.1674,90.7372,0.92,77.505,121.0,-39696.0,123.88,0.17,89.1,1.08,81.1,119.22,-123.0,119.7,2.8,27.65,-0.04719999999999991,1
30,Jul-2003,1.1365,91.2028,0.9,77.5894,121.0,-41321.0,124.73,0.17,89.2,1.0,80.98,119.99,239.0,120.4,3.2,28.35,-0.09009999999999985,1
31,Aug-2003,1.1155,91.0119,0.95,77.8847,123.0,-39892.0,124.57,0.17,89.4,1.0,81.1,120.5,2992.0,121.3,3.4,29.89,-0.10360000000000014,1
32,Sep-2003,1.1267,91.6355,0.94,78.1379,122.0,-41842.0,124.32,0.17,89.6,1.0,81.39,120.55,2816.0,121.4,3.3,27.11,-0.0956999999999999,1
33,Oct-2003,1.1714,91.7372,0.92,78.0535,122.0,-41388.0,124.58,0.17,89.8,1.0,81.51,121.61,4808.0,122.3,3.4,29.61,-0.07929999999999993,1
34,Nov-2003,1.171,92.3505,0.93,77.8425,122.0,-39898.0,124.7,0.17,89.9,1.0,81.54,122.09,3203.0,123.2,3.5,28.75,-0.12870000000000004,1
35,Dec-2003,1.2298,92.4019,0.9,77.7581,122.0,-44080.0,124.96,0.17,90.1,1.0,81.79,122.37,3100.0,123.3,3.4,29.81,-0.11080000000000001,1
36,Jan-2004,1.2638,92.5643,0.88,78.1379,122.0,-44645.0,125.68,0.21,90.3,1.0,81.61,122.7,4374.0,124.0,3.3,31.28,-0.04849999999999999,1
37,Feb-2004,1.264,93.1092,0.93,78.5598,123.0,-44552.0,126.27,0.21,90.5,1.0,81.8,123.43,6447.0,124.9,3.3,30.86,-0.03729999999999989,1
